,LemasSwFTPerPop,OwnOccHiQuart,OwnOccMedVal,PolicPerPop,ViolentCrimesPerPop,community,communityname,county,fold,numbUrban,perCapInc,state,whitePerCap
200,0.217460815047,0.13,0.16,0.217492163009,0.18,?,NorthLauderdalecity,?,2,0.04,0.28,12,0.3
201,0.217460815047,0.51,0.51,0.217492163009,0.13,40620,LittleFallstownship,31,2,0.02,0.55,34,0.55
202,0.217460815047,0.02,0.03,0.217492163009,0.29,?,LakeStationcity,?,2,0.02,0.18,18,0.17
203,0.217460815047,0.54,0.54,0.217492163009,0.68,?,Artesiacity,?,2,0.02,0.26,6,0.33
204,0.217460815047,0.15,0.16,0.217492163009,0.05,23832,Ephrataborough,71,2,0.0,0.33,42,0.32
205,0.09,0.15,0.14,0.09,0.16,?,Eugenecity,?,2,0.18,0.3,41,0.3
206,0.12,0.93,0.94,0.12,0.26,?,Torrancecity,?,2,0.21,0.58,6,0.6
207,0.217460815047,0.06,0.05,0.217492163009,0.19,?,VanWertcity,?,2,0.0,0.23,39,0.22
208,0.217460815047,0.48,0.51,0.217492163009,0.03,40115,Melrosecity,17,2,0.04,0.52,25,0.5
209,0.217460815047,0.2,0.19,0.217492163009,0.15,?,Clemsoncity,?,2,0.0,0.3,45,0.32
210,0.217460815047,0.24,0.25,0.217492163009,0.29,?,Hyattsvillecity,?,2,0.02,0.37,24,0.4
211,0.217460815047,0.1,0.09,0.217492163009,0.01,?,Viennacity,?,2,0.02,0.36,54,0.33
212,0.217460815047,0.18,0.19,0.217492163009,0.66,?,OaklandParkcity,?,2,0.04,0.35,12,0.38
213,0.217460815047,0.5,0.54,0.217492163009,0.05,65280,Rutherfordborough,3,2,0.03,0.53,34,0.54
214,0.217460815047,0.18,0.16,0.217492163009,0.27,?,Mansfieldcity,?,2,0.0,0.32,48,0.32
215,0.217460815047,0.3,0.3,0.217492163009,0.49,?,Lodicity,?,2,0.08,0.33,6,0.33
216,0.217460815047,0.13,0.13,0.217492163009,0.08,?,RoundRockcity,?,2,0.0,0.26,48,0.27
217,0.217460815047,0.09,0.1,0.217492163009,0.04,?,SpanishForkcity,?,2,0.0,0.12,49,0.11
218,0.217460815047,0.07,0.06,0.217492163009,0.16,21344,Danvillecity,590,2,0.08,0.21,51,0.28
219,0.217460815047,0.22,0.24,0.217492163009,0.06,71990,SouthPortlandcity,5,2,0.04,0.33,23,0.32
220,0.217460815047,0.08,0.08,0.217492163009,0.04,83975,Watertowncity,55,2,0.0,0.22,55,0.2
221,0.217460815047,0.37,0.41,0.217492163009,0.31,56979,Peekskillcity,119,2,0.03,0.39,36,0.43
222,0.2,0.09,0.1,0.2,0.36,41216,Lancastercity,71,2,0.09,0.19,42,0.24
223,0.217460815047,0.15,0.16,0.217492163009,0.05,1798,Amherstcity,93,2,0.02,0.35,39,0.33
224,0.217460815047,0.08,0.08,0.217492163009,0.16,26275,FondduLaccity,39,2,0.0,0.25,55,0.24
225,0.217460815047,0.07,0.05,0.217492163009,0.1,?,Sheffieldcity,?,2,0.02,0.19,1,0.22
226,0.217460815047,0.05,0.03,0.217492163009,0.74,?,Pariscity,?,2,0.0,0.17,48,0.2
227,0.2,0.23,0.26,0.2,0.19,54640,Pawtucketcity,7,2,0.11,0.26,44,0.27
228,0.217460815047,0.08,0.06,0.217492163009,0.63,?,Newberrytown,?,2,0.0,0.14,45,0.23
229,1.0,0.24,0.21,1.0,0.42,?,Decaturcity,?,2,0.03,0.37,13,0.53
230,0.217460815047,0.02,0.02,0.217492163009,0.04,?,FortMadisoncity,?,2,0.0,0.2,19,0.19
231,0.217460815047,0.08,0.07,0.217492163009,0.06,44328,Logantownship,13,2,0.01,0.22,42,0.21
232,0.217460815047,0.12,0.12,0.217492163009,0.2,?,Wenatcheecity,?,2,0.0,0.24,53,0.25
233,0.32,0.37,0.36,0.32,0.88,52070,NewHaventown,9,2,0.21,0.27,9,0.36
234,0.217460815047,0.34,0.36,0.217492163009,0.12,17475,Dracuttown,17,2,0.03,0.39,25,0.37
235,0.217460815047,0.09,0.08,0.217492163009,0.11,?,Enniscity,?,2,0.0,0.18,48,0.24
236,0.217460815047,0.39,0.44,0.217492163009,0.27,?,Marinacity,?,2,0.04,0.21,6,0.25
237,0.217460815047,0.16,0.15,0.217492163009,0.02,11950,Caledoniatown,101,2,0.03,0.39,55,0.38
238,0.217460815047,0.32,0.33,0.217492163009,0.37,76030,Westfieldcity,13,2,0.06,0.31,25,0.3
239,0.217460815047,0.2,0.2,0.217492163009,0.18,?,Auburncity,?,2,0.05,0.3,53,0.3
240,0.217460815047,0.72,0.69,0.217492163009,0.04,1465,Andovertown,9,2,0.04,0.73,25,0.71
241,0.217460815047,0.07,0.06,0.217492163009,0.12,42168,Lebanoncity,75,2,0.0,0.21,42,0.21
242,0.217460815047,0.2,0.19,0.217492163009,0.32,?,Visaliacity,?,2,0.12,0.27,6,0.32
243,0.08,0.42,0.44,0.08,0.54,?,ElMontecity,?,2,0.17,0.1,6,0.1
244,0.217460815047,0.07,0.08,0.217492163009,0.18,86772,Xeniacity,57,2,0.0,0.2,39,0.2
245,0.217460815047,0.47,0.45,0.217492163009,0.25,?,Napacity,?,2,0.1,0.38,6,0.38
246,0.217460815047,0.49,0.51,0.217492163009,0.7,?,Bellflowercity,?,2,0.1,0.31,6,0.34
247,0.217460815047,0.07,0.07,0.217492163009,0.22,?,NewPortRicheycity,?,2,0.02,0.21,12,0.2
248,0.25,0.11,0.1,0.25,1.0,?,Spartanburgcity,?,2,0.07,0.24,45,0.38
249,0.217460815047,0.08,0.08,0.217492163009,0.03,40775,LaCrossecity,63,2,0.08,0.2,55,0.2
250,0.0,0.2,0.16,0.0,0.74,?,Charlottecity,?,2,0.63,0.4,37,0.51
251,0.26,0.12,0.11,0.26,0.63,?,Lakelandcity,?,2,0.11,0.29,12,0.33
252,0.217460815047,0.37,0.35,0.217492163009,0.05,?,Carmelcity,?,2,0.04,0.68,18,0.67
253,0.217460815047,0.36,0.4,0.217492163009,0.09,68460,Somervilleborough,35,2,0.02,0.43,34,0.46
254,0.217460815047,0.22,0.18,0.217492163009,0.04,32328,Hamptontownship,3,2,0.02,0.51,42,0.49
255,0.19,0.1,0.1,0.19,0.93,?,NorthCharlestoncity,?,2,0.11,0.18,45,0.22
256,0.217460815047,0.04,0.02,0.217492163009,0.19,?,PoplarBluffcity,?,2,0.0,0.13,29,0.13
257,0.217460815047,0.21,0.21,0.217492163009,0.06,21344,EastLampetertownship,71,2,0.01,0.4,42,0.39
258,0.217460815047,0.05,0.05,0.217492163009,0.03,?,Clarksburgcity,?,2,0.0,0.18,54,0.18
259,0.217460815047,0.01,0.0,0.217492163009,0.1,?,Pecoscity,?,2,0.0,0.08,48,0.07
260,0.217460815047,0.06,0.05,0.217492163009,0.53,?,LaPortecity,?,2,0.0,0.24,18,0.24
261,0.217460815047,0.11,0.1,0.217492163009,0.59,?,WinterHavencity,?,2,0.04,0.31,12,0.37
262,0.31,0.15,0.12,0.31,0.67,67000,Richmondcity,760,2,0.32,0.3,51,0.52
263,0.217460815047,0.56,0.53,0.217492163009,0.01,14160,Cheshiretown,9,2,0.03,0.62,9,0.63
264,0.217460815047,0.29,0.31,0.217492163009,0.05,18640,Coventrytown,3,2,0.04,0.32,44,0.31
265,0.217460815047,0.14,0.11,0.217492163009,0.14,?,OakRidgecity,?,2,0.0,0.43,47,0.41
266,0.05,0.12,0.11,0.05,0.35,?,Montgomerycity,?,2,0.3,0.26,1,0.39
267,0.217460815047,0.07,0.08,0.217492163009,0.17,?,Overlandcity,?,2,0.03,0.27,29,0.27
268,0.217460815047,0.08,0.07,0.217492163009,0.05,?,Maryvillecity,?,2,0.0,0.13,29,0.12
269,0.217460815047,0.24,0.25,0.217492163009,0.69,27025,Greenfieldtown,11,2,0.0,0.29,25,0.28
270,0.217460815047,0.36,0.39,0.217492163009,0.11,67945,Stoughtontown,21,2,0.04,0.42,25,0.4
271,0.217460815047,0.12,0.09,0.217492163009,0.24,?,Kingsportcity,?,2,0.06,0.3,47,0.29
272,0.217460815047,0.2,0.2,0.217492163009,0.35,?,WiltonManorscity,?,2,0.02,0.39,12,0.42
273,0.217460815047,0.05,0.05,0.217492163009,0.27,?,MichiganCitycity,?,2,0.0,0.19,18,0.22
274,0.217460815047,0.35,0.38,0.217492163009,0.13,18455,EastBridgewatertown,23,2,0.01,0.34,25,0.32
275,0.217460815047,0.31,0.34,0.217492163009,0.36,?,Pittsburgcity,?,2,0.08,0.29,6,0.34
276,0.217460815047,0.07,0.06,0.217492163009,0.34,?,PhenixCitycity,?,2,0.04,0.16,1,0.24
277,0.18,0.42,0.45,0.18,0.08,74190,Stratfordtown,1,2,0.08,0.46,9,0.46
278,0.217460815047,0.25,0.27,0.217492163009,0.05,59980,Plainfieldtown,15,2,0.0,0.27,9,0.25
279,0.217460815047,0.12,0.12,0.217492163009,0.03,7200,Bismarckcity,15,2,0.08,0.28,38,0.27
280,0.217460815047,0.07,0.07,0.217492163009,0.03,?,Stephenvillecity,?,2,0.0,0.19,48,0.19
281,0.217460815047,0.44,0.41,0.217492163009,0.12,16775,Dennistown,1,2,0.01,0.35,25,0.34
282,0.217460815047,0.15,0.14,0.217492163009,0.06,20352,Dunmoreborough,69,2,0.02,0.27,42,0.26
283,0.217460815047,0.13,0.14,0.217492163009,0.32,?,Englewoodcity,?,2,0.05,0.29,8,0.28
284,0.217460815047,0.32,0.37,0.217492163009,0.19,10750,Carteretborough,23,2,0.03,0.34,34,0.36
285,0.217460815047,0.06,0.06,0.217492163009,0.14,?,LaMarquecity,?,2,0.02,0.25,48,0.3
286,0.217460815047,0.38,0.37,0.217492163009,0.51,41310,LongBranchcity,25,2,0.05,0.38,34,0.44
287,0.217460815047,0.54,0.52,0.217492163009,0.01,4500,Bedfordtown,11,2,0.0,0.71,33,0.69
288,0.217460815047,0.09,0.07,0.217492163009,0.59,?,Greenvillecity,?,2,0.0,0.24,48,0.29
289,0.217460815047,0.39,0.37,0.217492163009,0.09,77570,Westporttown,5,2,0.01,0.36,25,0.34
290,0.217460815047,0.17,0.17,0.217492163009,0.1,41610,Lowertownship,9,2,0.0,0.26,34,0.25
291,0.217460815047,0.39,0.28,0.217492163009,0.09,86160,Williamsburgcity,830,2,0.02,0.23,51,0.25
292,0.217460815047,0.2,0.21,0.217492163009,0.03,78736,UpperAllentownship,41,2,0.02,0.43,42,0.42
293,0.16,0.15,0.15,0.16,0.28,2000,Allentowncity,77,2,0.17,0.26,42,0.28
294,0.217460815047,0.11,0.09,0.217492163009,0.1,43344,Libertytownship,155,2,0.04,0.34,39,0.31
295,0.217460815047,0.37,0.39,0.217492163009,0.12,65790,Sayrevilleborough,23,2,0.06,0.45,34,0.44
296,0.13,0.62,0.59,0.13,0.67,?,LongBeachcity,?,2,0.68,0.36,6,0.5
297,0.217460815047,0.82,0.76,0.217492163009,0.02,47670,Montvilletownship,27,2,0.02,0.85,34,0.84
298,0.217460815047,0.47,0.49,0.217492163009,0.29,?,Fillmorecity,?,2,0.0,0.19,6,0.2
299,0.217460815047,0.11,0.1,0.217492163009,0.36,?,Vancouvercity,?,2,0.07,0.25,53,0.25
300,0.217460815047,0.13,0.12,0.217492163009,0.11,?,Delawarecity,?,2,0.0,0.24,39,0.23
301,0.217460815047,0.08,0.06,0.217492163009,0.03,?,FortPaynecity,?,2,0.0,0.2,1,0.19
302,0.217460815047,0.12,0.13,0.217492163009,0.35,?,Northportcity,?,2,0.03,0.26,1,0.31
